rotten_tomatoes_link,movie_title,directors,authors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_rating,audience_rating
m/0814255,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"Craig Titley, Chris Columbus, Rick Riordan",2010-02-12,2015-11-25,119,20th Century Fox,49,53
m/0878835,Please Give,Nicole Holofcener,Nicole Holofcener,2010-04-30,2012-09-04,90,Sony Pictures Classics,87,64
m/10,10,Blake Edwards,Blake Edwards,1979-10-05,2014-07-24,122,Waner Bros.,67,53
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Sidney Lumet,Reginald Rose,1957-04-13,2017-01-13,95,Criterion Collection,100,97
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Richard Fleischer,Earl Felton,1954-01-01,2016-06-10,127,Disney,89,74
m/10000_bc,"10,000 B.C.",Roland Emmerich,"Harald Kloser, Roland Emmerich",2008-03-07,2013-06-22,109,Warner Bros. Pictures,8,37
m/1000121-39_steps,The 39 Steps,Alfred Hitchcock,"Alma Reville, Charles Bennett, Ian Hay, Alfred Hitchcock",1935-08-01,2017-01-12,80,Gaumont British Distributors,96,86
m/1000123-310_to_yuma,3:10 to Yuma,Delmer Daves,Halsted Welles,1957-08-07,2012-04-16,92,Columbia Pictures,96,79
m/10002008-charly,Charly (A Heartbeat Away),Adam Thomas Anderegg,"Jack Weyland, Janine Whetton Gilbert",2002-09-27,2017-05-22,103,Excel Entertainment,20,87
m/1000204-abraham_lincoln,Abraham Lincoln,D.W. Griffith,"Gerrit J. Lloyd, Stephen Vincent Benét",1930-11-08,2013-12-03,97,United Artists,82,40
m/10002114-dark_water,Dark Water,Hideo Nakata,"Hideo Hakata, Takashige Ichise, Yoshihiro Nakamura, Ken-ichi Suzuki",2002-01-19,2017-03-23,100,Toho Company Ltd,80,66
m/1000224-accused,The Accused,Jonathan Kaplan,Tom Topor,1988-10-14,2016-10-04,110,Paramount Pictures,91,79
m/10002516-lost_city,The Lost City,Andy Garcia,"G. Cabrera Infante, Guillermo Cabrera Infante",2005-09-03,2017-03-23,143,Magnolia Pictures,25,64
m/10002519-breaking_point,The Breaking Point,Michael Curtiz,Ranald MacDougall,1950-10-06,2016-08-25,97,Warner Home Video,100,86
m/1000253-adams_rib,Adam's Rib,George Cukor,"Garson Kanin, Ruth Gordon",1949-11-18,2008-05-01,101,MGM Home Entertainment,96,86
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,Mary McGuckian,Mary McGuckian,2005-06-10,2014-07-24,124,Fine Line Features,4,35
m/10002673-prowler,The Prowler (Cost of Living ),Joseph Losey,"Robert Thoeren, Hugo Butler, Dalton Trumbo",1951-12-03,2016-12-05,92,VCI Entertainment,100,86
m/10003276-criminal,Criminal,"Greggory Jacobs, Gregory Jacobs, Greg Jacobs","Gregory Jacobs, Fabián Bielinsky, Steven Soderbergh, Sam Lowry, Greggory Jacobs, Greg Jacobs",2004-09-24,2016-04-27,87,Warner Bros. Pictures,69,57
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,Will Vinton,Susan Shadburne,1985-03-01,2017-02-04,86,Eureka Entertainment Ltd,80,82
m/10003437-deep_blue,Deep Blue,"Andy Byatt, Alastair Fothergill","Alastair Fothergill, Andy Byatt, Tim Ecott",2005-06-17,2016-12-07,90,Miramax Flims,67,80
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller, Michael Curtiz, William Keighley",1938-05-14,2014-01-23,102,Warner Bros.,100,89
m/10003876-man_hunt,Man Hunt,Fritz Lang,Dudley Nichols,1941-01-01,2014-03-01,100,Twentieth Century Fox,92,75
m/10003925-dead_end,Dead End,"Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea","Jean-Baptiste Andrea, Fabrice Canepa",2003-09-26,2018-12-11,83,LionsGate Entertainment,75,60
m/10004050-bandwagon,Bandwagon,John Schultz,John Schultz,1997-09-12,,103,Avalanche Entertainment,80,91
m/10004069-whore,Whore,María Lidón,"Adela Ibañez, Isabel Pisano",2004-04-16,2014-02-04,77,Dolores Pictures LLC,0,63
m/10004209-tristan_and_isolde,Tristan & Isolde,Kevin Reynolds,Dean Georgaris,2006-01-13,2015-11-25,126,20th Century Fox,31,71
m/10004226-wild_side,Wild Side,Sébastien Lifshitz,"Sébastien Lifshitz, Stéphane Bouquet",2005-06-10,2005-10-25,94,Wellspring,63,80
m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,Vincent Sassone,Vincent Sassone,2003-11-07,2018-01-16,82,,38,
m/10004288-running_scared,Running Scared,Wayne Kramer,Wayne Kramer,2006-02-24,2008-10-01,121,New Line Cinema,41,79
m/10004352-going_the_distance,Going the Distance,Mark Griffiths,"Eric Goodman, Kelly Senecal",2004-08-20,2017-03-10,93,Séville Pictures,0,61
m/10004504-ultraviolet,Ultraviolet,Kurt Wimmer,Kurt Wimmer,2006-03-03,2012-04-16,88,Sony Pictures,8,30
m/10004635-home_of_the_brave,Home of the Brave,Paola di Florio,Paola di Florio,2004-05-11,2016-04-03,75,Emerging Pictures,93,48
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Luc Besson,"Luc Besson, Celine Garcia",2007-01-12,2016-08-10,94,MGM,22,56
m/10004684-malevolence,Malevolence,Stevan Mena,Stevan Mena,2004-09-10,2017-03-30,90,Anchor Bay Entertainment,33,83
m/10004697-eternal,Eternal,"Wilhelm Liebenberg, Federico Sanchez","Wilhelm Liebenberg, Federico Sanchez",2004-08-26,2016-09-23,108,Regent Releasing,21,39
m/10004835-farewell_to_arms,A Farewell To Arms,"Charles Vidor, John Hudson, John Huston",Ben Hecht,1957-12-14,2012-09-18,150,Fox,0,37
m/10004890-narrow_margin,The Narrow Margin,Richard Fleischer,"Earl Felton, Martin Goldsmith",1952-05-04,2012-08-20,71,Warner Home Video,100,88
m/10004925-matador,The Matador,"Bob Yari, Richard Shepard","Richard Shepard, Richard Shepherd",2006-01-27,2016-11-18,97,The Weinstein Company,75,65
m/10005057-smile,Smile,"Jeff Kramer, Jeffrey Kramer","Jeff Kramer, Jeffrey Kramer",2005-04-08,2016-11-18,107,Dark Forest Releasing,15,66
m/10005104-intruder,The Intruder (L'Intrus),Claire Denis,"Claire Denis, Jean-Pol Fargeau",2005-12-23,2006-04-25,130,Wellspring,87,73
m/10005178-saint_ralph,Saint Ralph,Michael McGowan,Michael McGowan,2005-08-05,2017-05-11,98,IDP,64,85
m/10005403-the_baxter,The Baxter,Michael Showalter,Michael Showalter,2005-08-26,2018-07-02,91,IFC Films,32,75
m/10005499-oliver_twist,Oliver Twist,Roman Polanski,Ronald Harwood,2005-09-30,2012-04-16,130,Sony Pictures,61,63
m/1000560-alamo,The Alamo,John Wayne,James Edward Grant,1960-10-24,2016-11-30,192,Batjac Productions,52,63
m/10005755-g,G,Christopher Scott Cherot,"Charles E. Drew, Christopher Scott Cherot, Charles E. Drew Jr.",2005-09-16,2018-04-10,96,Slow Hand Cinema,24,60
m/1000580-alexander_the_great,Alexander the Great,Robert Rossen,Robert Rossen,1956-03-28,2017-01-17,141,United Artists,0,42
m/1000581-alfie,Alfie,Lewis Gilbert,Bill Naughton,1966-08-24,2013-08-01,114,Paramount Pictures,96,76
m/10005819-10005819-neverwas,Neverwas,Joshua Michael Stern,Joshua Michael Stern,2005-09-09,2016-04-19,102,Senator Film,14,65
m/10006007-the_second_chance,The Second Chance,Steve Taylor,"Steve Taylor, Chip Arnold, Ben Pearson, Henry O. Arnold",2006-02-17,2006-07-18,104,Sony Pictures,44,78
m/10006057-moonlight,Moonlight,Paula Van der Oest,Carel Donck,2003-10-17,2020-03-13,90,Indican Pictures,60,67
m/1000617-aliens,Aliens,James Cameron,James Cameron,1986-07-18,2015-11-25,137,20th Century Fox,97,94
m/10006188-rise,Rise: Blood Hunter,Sebastian Gutierrez,Sebastian Gutierrez,2007-06-01,2016-11-01,97,IDP Distribution,36,20
m/1000626-all_about_eve,All About Eve,Joseph L. Mankiewicz,Joseph L. Mankiewicz,1950-01-01,2015-11-25,138,20th Century Fox,99,94
m/10006270,When Do We Eat?,Salvador Litvak,"Salvador Litvak, Nina Davidovich",2006-04-07,2017-05-22,87,ThinkFilm,42,68
m/10006324,The Mostly Unfabulous Social Life of Ethan Green,George Bamber,David Vernon,2006-06-16,2017-02-02,88,Regent Releasing,30,58
m/10006343-dirty,Dirty,Chris Fisher,"Chris Fisher, Gil Reavill, Eric Saks",2006-02-24,2012-04-16,97,SNP Inc.,21,42
m/10006370-stay_alive,Stay Alive,William Brent Bell,"William Brent Bell, Matthew Peterman",2006-03-24,2016-08-09,85,Buena Vista,10,55
m/1000640-all_of_me,All of Me,Carl Reiner,"Henry Olek, Carl Reiner, Phil Alden Robinson",1984-09-21,2016-10-30,93,HBO Video,85,67
m/1000643-all_quiet_on_the_western_front,All Quiet on the Western Front,Delbert Mann,Paul Monash,,2018-04-16,156,Unknown,100,69
m/10006434-dreamland,Dreamland,Jason Matzner,"Tom Willett, Jason Matzner",2006-12-19,2012-04-16,88,Dreamland Motion Picture Co.,67,65
m/10006485-black_gold,Independent Lens,"Mark Francis, Marc Francis, Nick Francis",,2006-10-06,2007-01-09,77,California Newsreel,84,84
m/1000654-all_the_kings_men,All the King's Men,Robert Rossen,"Robert Rossen, Robert Penn Warren",1949-11-08,2013-05-01,109,Sony Pictures Home Entertainment,95,78
m/10006588-street_fight,Street Fight,Marshall Curry,Marshall Curry,2005-01-01,2016-12-05,86,Marshall Curry Productions,100,93
m/10006780-lost_horizon,Lost Horizon,Charles Jarrott,Larry Kramer,1973-03-17,2015-12-18,143,RCA Video,20,45
m/10006848-the_motel,The Motel,Michael Kang,Michael Kang,2005-06-28,2017-03-17,76,Palm Pictures,88,64
m/10006849-once_in_a_lifetime,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Paul Crowder, John Dower","Mark Monroe, John Dower",2006-05-18,2016-11-23,97,Miramax,81,80
m/10006856-requiem,Requiem,Hans-Christian Schmid,Bernd Lange,2006-10-20,2017-03-23,92,IFC First Take,86,66
m/10006940-silk,Gui si (Silk),Chao-Bin Su,,2006-05-24,2015-02-12,117,,40,57
m/10007139-park,Park,Kurt Voelker,Kurt Voelker,2006-06-12,2017-11-05,86,Mello Pictures,36,48
m/10007142-the_4th_dimension,The 4th Dimension,"Tom Mattera, Dave Mazzoni","Tom Mattera, Dave Mazzoni",2006-04-01,2017-10-09,82,,63,31
m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop",Eric Canuel,"Leila Basen, Alex Epstein, Patrick Huard, Kevin Tierney",2006-07-04,2017-05-12,116,Vivafilm,78,82
m/10007415-amazing_grace,Amazing Grace,Michael Apted,Steven Knight,2007-02-23,2015-11-25,116,Samuel Goldwyn Films LLC,67,85
m/10007538-silence,The Silence,Cate Shortland,,,2016-11-18,104,,50,38
m/10007598-cocaine_cowboys,Cocaine Cowboys,Billy Corben,,2006-10-27,2016-08-10,116,Magnolia Pictures,69,79
m/10007614-gone,Gone,Ringan Ledwidge,"James Watkins, Andrew Upton",2007-03-09,2014-02-12,88,United International,54,20
m/10007714-situation,The Situation,Philip Haas,Wendell Steavenson,2006-10-18,2007-07-31,106,Shadow Distribution,35,58
m/10007821-snow_blind,Snow Blind,Christopher J. Scott,,2006-12-01,2017-05-22,105,Matson Films,20,
m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,Sterlin Harjo,Sterlin Harjo,2007-01-22,2016-07-09,81,First Look Home Entertainment,100,61
m/10007886-the_tigers_tail,The Tiger's Tail,John Boorman,John Boorman,2006-09-26,2016-07-20,106,Buena Vista,14,30
m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,Nick Hurran,Geoff Deane,2006-12-26,2016-11-30,95,Anchor Bay Entertainment,67,61
m/10007898-slipstream,Slipstream,Anthony Hopkins,Anthony Hopkins,2007-10-26,2012-04-16,97,Strand Releasing,25,29
m/10007902-delirious,Delirious,Tom DiCillo,Tom DiCillo,2007-08-15,2020-10-13,107,Peace Arch Films,83,57
m/10007916_interview,Interview,Steve Buscemi,"Steve Buscemi, David Schechter",2007-07-13,2012-04-16,84,Sony Classics,58,55
m/1000792-american_anthem,American Anthem,Albert Magnoli,"Evan Archerd, Albert Magnoli, Jeff Benjamin",1986-06-01,2013-12-03,102,Lorimar Home Video,0,65
m/10007947-ten,The Ten,David Wain,"Ken Marino, David Wain",2007-01-18,2016-02-26,99,ThinkFilm,35,40
m/10007985-happening,The Happening,M. Night Shyamalan,M. Night Shyamalan,2008-06-11,2015-11-25,89,20th Century Fox,17,24
m/10008005-moliere,Molière,"Laurent Tirard, Laurent Sivot","Laurent Tirard, Grégoire Vigneron, Fanny Valette, Jean-Claude Jay",2007-07-27,2014-03-09,120,Sony Pictures Classics,69,79
m/10008126-straightheads,Straightheads (Closure),Dan Reed,,2007-04-27,2012-05-01,88,Sony Pictures Entertainment,40,32
m/10008140-borderland,Borderland,Zev Berman,"Zev Berman, Eric Poppen",2007-11-09,2016-08-10,104,After Dark Films,100,43
m/10008200-spiral,Spiral,"Adam Green, Joel David Moore","Joel David Moore, Jeremy Danial Boreing",2007-01-27,2017-08-13,90,Anchor Bay Entertainment,55,59
m/10008234-alexandra,Alexandra,Aleksandr Sokurov,Aleksandr Sokurov,2007-05-25,2015-02-11,95,The Cinema Guild,88,69
m/10008390_blood_and_tears,Blood and Tears: The Arab-Israeli Conflict,Isidore Rosmarin,"Isidore Rosmarin, Jeff Helmreich",2007-06-15,2007-08-28,73,ThinkFilm,50,33
m/10008423-cool_school,The Cool School,Morgan Neville,"Kristine Mckenna, Morgan Neville",2008-03-07,2017-03-18,86,Arthouse Films,92,63
m/10008496-pathology,Pathology,"Marc Scholermann, Marc Schoelermann","Brian Taylor, Mark Neveldine",2008-04-18,2017-01-17,93,MGM,45,39
m/10008502-christmas_carol,Disney's A Christmas Carol,Robert Zemeckis,Robert Zemeckis,2009-11-06,2015-11-23,95,Walt Disney Studios,52,58
m/10008507-deep_water,Deep Water,"Louise Osmond, Jerry Rothwell","Louise Osmond, Jerry Rothwell",2006-09-03,2017-04-04,93,IFC Films,96,87
m/10008562-road_to_victory,Road to Victory,Mike Reilly,Mike Reilly,2007-03-18,2016-07-11,99,Vanguard,78,78
m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,Raja Gosnell,"Analisa LaBianco, Jeffrey Bushell",2008-09-30,2015-12-13,91,Walt Disney Pictures,40,52
m/10008601-fireflies_in_the_garden,Fireflies in the Garden,Dennis Lee (III),Dennis Lee (III),2011-10-14,2014-01-09,98,Senator Entertainment,22,45
m/10008606-eye,The Eye,"David Moreau, Xavier Palud","Sebastian Gutierrez, Hillary Seitz",2008-02-01,2016-11-09,97,Lionsgate Films,21,43
m/10008607-day_of_the_dead,Day of the Dead,Steve Miner,Jeffrey Reddick,2008-04-01,2016-10-07,87,First Look International,13,22
m/10008611-my_best_friends_girl,My Best Friend's Girl,Howard Deutch,"Jordan Cahan, Jordan B. Cahan",2008-09-18,2016-09-09,103,Lionsgate,14,46
m/10008613-burrowers,The Burrowers,J.T. Petty,J.T. Petty,2008-09-01,2016-11-07,96,Lions Gate Films,75,34
m/10008617-midnight_meat_train,The Midnight Meat Train,Ryuhei Kitamura,Jeff Buhler,2008-08-14,2016-10-18,100,Lionsgate Films,73,50
m/10008618-return,The Lucky Ones,Neil Burger,"Neil Burger, Dirk Wittenborn",2008-09-26,2016-10-06,115,Lionsgate,37,54
m/10008621-run_fat_boy_run,Run Fatboy Run,David Schwimmer,"Michael Ian Black, Simon Pegg",2007-09-07,2010-07-02,100,Picturehouse,47,64
