id_avaliador,id_filme_TMDB,nota
imdb,330457,6.8
tmdb,330457,7.3
rottentomatoes,330457,7.7
imdb,674,7.7
tmdb,674,7.8
rottentomatoes,674,8.8
imdb,10193,8.2
tmdb,10193,7.8
rottentomatoes,10193,9.8
imdb,82992,7.0
tmdb,82992,6.8
rottentomatoes,82992,7.1
imdb,328111,6.5
tmdb,328111,6.2
rottentomatoes,328111,7.3
imdb,260513,7.6
tmdb,260513,7.5
rottentomatoes,260513,9.3
imdb,269149,8.0
tmdb,269149,7.7
rottentomatoes,269149,9.8
imdb,19995,7.8
tmdb,19995,7.5
rottentomatoes,19995,8.2
imdb,810,6.1
tmdb,810,6.2
rottentomatoes,810,4.1
imdb,1895,7.5
tmdb,1895,7.4
imdb,57158,7.8
tmdb,57158,7.6
rottentomatoes,57158,7.4
imdb,38356,6.2
tmdb,38356,6.1
rottentomatoes,38356,3.5
imdb,424694,7.9
tmdb,424694,8.0
rottentomatoes,424694,6.0
imdb,99861,7.3
tmdb,99861,7.3
rottentomatoes,99861,7.6
imdb,58,7.3
tmdb,58,7.3
rottentomatoes,58,5.3
imdb,217,6.1
tmdb,217,6.0
rottentomatoes,217,7.8
imdb,101299,7.5
tmdb,101299,7.4
rottentomatoes,101299,9.0
imdb,299534,8.4
tmdb,299534,8.3
rottentomatoes,299534,9.4
imdb,209112,6.4
tmdb,209112,5.9
rottentomatoes,209112,2.8
imdb,259316,7.3
tmdb,259316,7.4
rottentomatoes,259316,7.4
imdb,122917,7.4
tmdb,122917,7.3
rottentomatoes,122917,5.9
imdb,337339,6.6
tmdb,337339,6.9
rottentomatoes,337339,6.7
imdb,49051,7.8
tmdb,49051,7.3
rottentomatoes,49051,6.4
imdb,122,8.9
tmdb,122,8.5
rottentomatoes,122,9.3
imdb,559,6.2
tmdb,559,6.3
rottentomatoes,559,6.2
imdb,284054,7.3
tmdb,284054,7.4
rottentomatoes,284054,9.6
imdb,383498,7.7
tmdb,383498,7.5
rottentomatoes,383498,8.3
imdb,354912,8.4
tmdb,354912,8.2
rottentomatoes,354912,9.7
imdb,330459,7.8
tmdb,330459,7.5
rottentomatoes,330459,8.4
imdb,12444,7.7
tmdb,12444,7.8
rottentomatoes,12444,7.7
imdb,140607,7.8
tmdb,140607,7.3
rottentomatoes,140607,9.2
imdb,8373,6.0
tmdb,8373,6.1
rottentomatoes,8373,2.0
imdb,120,8.8
tmdb,120,8.4
rottentomatoes,120,9.1
imdb,8355,6.9
tmdb,8355,6.7
imdb,68721,7.1
tmdb,68721,6.9
rottentomatoes,68721,7.9
imdb,12445,8.1
tmdb,12445,8.1
rottentomatoes,12445,9.6
imdb,155,9.0
tmdb,155,8.5
rottentomatoes,155,9.4
imdb,37724,7.8
tmdb,37724,7.2
rottentomatoes,37724,9.2
imdb,512200,6.7
tmdb,512200,7.0
rottentomatoes,512200,7.2
imdb,558,7.3
tmdb,558,7.1
rottentomatoes,558,9.3
imdb,420817,6.9
tmdb,420817,7.1
rottentomatoes,420817,5.7
imdb,12,8.1
tmdb,12,7.8
rottentomatoes,12,9.9
imdb,211672,6.4
tmdb,211672,6.4
