id_TMDB,id_IMDB,nome,nacionalidade,num_oscars
1770528,nm5947964,Ella-Rae Smith,,0
35159,nm0628170,Laraine Newman,"Los Angeles, California, USA",0
502,nm0001584,Miranda Otto,"Brisbane, Queensland, Australia",0
1,nm0000184,George Lucas,"Modesto, California, USA",0
1391129,nm0709555,Chad Randall,,0
34521,nm0005606,Maurice LaMarche,"Toronto, Ontario, Canada",0
1922821,nm5329331,Lori Pelenise Tuisano,,0
3549,nm0511580,Andy Linden,"Hampshire, Inglaterra",0
1806600,nm8932754,Jim Gunn Sr.,,0
168875,nm0917314,Gary Weeks,"Wiesbaden, Germany",0
97446,nm0003069,James DuMont,"Chicago, Illinois, USA",0
2312657,nm8915917,Santiago Solis Chavez,,0
1337049,nm0371154,Megan Hayes,"Atlanta, Georgia, USA",0
2,nm0000434,Mark Hamill,"Concord, California, USA",0
98804,nm1237235,Ronnie Gene Blevins,"Harris County, Texas, USA",0
203294,nm1705724,Jill Morrison,"Langley, British Columbia, Canada",0
1336359,nm1445482,Wayne Gordon,,0
29616,nm0035628,William Armstrong,"Montréal, Québec, Canada",0
584023,nm1269669,Levi Nunez,,0
77278,nm1091701,Denzel Whitaker,"Torrance, California, USA",0
1070855,nm0111730,Peter Brooke,,0
1806601,nm8932755,Leota Gunn,,0
2612391,nm0322397,Stephen Gledhill,,0
11109,nm0296545,Nick Frost,"Essex, England, UK",0
1214171,nm0734989,Al Rodrigo,,0
1064,nm0000417,Crispin Glover,"New York City, New York, USA",0
1104414,nm1999504,Sydelle Noel,,0
87819,nm0507097,Dawnn Lewis,"Brooklyn, New York City, New York, USA",0
60898,nm1659221,Sebastian Stan,"Constanta, Romania",0
25080,nm2271318,Alessandro Giuggioli,,0
204802,nm1208035,Aaron Neil,,0
70577,nm1586095,Ghassan Massoud,"Damascus, Syria",0
117081,nm0304679,Teresa Ganzel,"Toledo, Ohio",0
2312659,nm8915918,Joyvan Guevara,,0
39459,nm2017943,Hayley Atwell,"London, England",0
29617,nm0083307,Paul Birchard,,0
1178792,nm0364814,Jason Harris,"New York, New York, USA",0
145170,nm3966115,Dan Abnett," England, U.K.",0
4,nm0000402,Carrie Fisher,"Beverly Hills, Los Angeles, California, USA",0
50217,nm0446672,Michael Kelly,"Philadelphia, Pennsylvania, USA ",0
61705,nm0661974,Woon Young Park,"Seoul, Korea",0
950773,nm0327344,Jackie Gonneau,,0
2231788,nm2091261,Val Cole,,0
1749,nm0000559,Leonard Nimoy,"Boston, Massachusetts, USA",0
2395,nm0000155,Whoopi Goldberg,"New York City, New York, USA",1
1252521,nm2648214,Hannah Walters,,0
1796448,,Alan Rushton,,0
180730,nm4528235,Jade Gordon,,0
23076,nm0362735,Robert Hardy,"Cheltenham, Gloucestershire, England, UK",0
1590327,nm7039492,Earl T. Kim,,0
109422,nm1038783,Rob Mars,,0
30485,nm0001634,CCH Pounder,"Georgetown, British Guiana",0
2351611,,Joshua Sinclair-Evans,,0
1379821,nm4473692,Michael James Shaw,,0
3,nm0000148,Harrison Ford,"Chicago, Illinois, USA",0
69899,nm1157048,Zachary Levi,"Lake Charles, Louisiana, USA",0
124747,nm1853544,Pierre Coffin,"Limoges, France",0
108253,nm1705090,Katie Lowes,"Queens, New York, USA",0
6,nm0000355,Anthony Daniels,"Salisbury, Wiltshire, England, UK",0
559457,nm0012948,Steve Agee,"Riverside, California, USA",0
94476,nm0011758,Tunde Adebimpe,"St. Louis, Missouri, USA",0
109419,nm0847543,Ken Takemoto,,0
1178794,nm0516496,Bill Lobley,,0
98811,nm0700445,Nicole Pulliam,"Columbus, Ohio, USA",0
1136406,nm4043618,Tom Holland,"泰晤士河上的金斯敦,萨里,英国",0
1232365,nm2185248,Andy Pessoa,"Kearney, Nebraska, USA",0
205881,nm2760381,Luis Javier,,0
1432102,nm2222296,John Stewart,,0
1802247,,Max Brophy,,0
1775383,,Sophia Brown,,0
1802241,,Daniel Daszek-Green,,0
124748,nm0719208,Chris Renaud,"Baltimore, Maryland, U.S.",0
34517,nm0005295,Trey Parker,"Conifer, Colorado, USA",0
166772,nm0066877,Joy Behar,"Brooklyn, New York, US",0
1178796,nm1838159,Brian Scott McFadden,,0
154153,nm1616211,Sean Anthony Moran,,0
1993057,nm11212880,Zhang Xiaofei,"Anshan, Liaoning, China",0
1404403,nm0053443,Nigel Barber,,0
79638,nm0876128,Edward Tudor-Pole,"Lambeth, London, England, UK",0
103352,nm1478846,Richard Riddell,"Sunderland, Tyne and Wear, England, UK",0
9273,nm0010736,Amy Adams,"Vicenza, Veneto, Italy",0
1933820,nm2246640,Julie Mun,,0
231143,nm0973775,Fausto Maria Sciarappa,"Verona, Italy",0
2093326,nm9410159,Wei Xiang,"Mianyang, Sichuan, China",0
60279,nm0851317,Fred Tatasciore,"New York City, New York, USA",0
1861352,,Michael Tantrum,,0
213001,nm2809577,Jenny Slate,"Milton, Massachusetts, USA",0
1453555,nm0006649,John H. Tobin,"Manhattan, New York, USA",0
19242,nm0006904,Tony Gilroy,"Manhattan, New York, USA",0
187565,nm0567653,Audra McDonald,"Berlin, Germany",0
53519,nm0377901,Lenny Henry,"Dudley, West Midlands, England, UK",0
1508409,nm0934464,Calvin Wimmer,,0
14102,nm0168642,George Coe,"Jamaica, Queens, New York City, New York, USA",0
166242,nm2780356,Pauline Stone,,0
5048,nm0001765,Harry Dean Stanton,"West Irvine, Kentucky, USA",0
510,nm0000318,Tim Burton,"Burbank, California, USA",0
18262,nm0726223,Richard Riehle,"Menomonee Falls, Wisconsin, USA",0
1403768,nm1080379,Chris Hill,,0
1933819,,Harry Coles,,0
10,nm0677037,Bob Peterson,"Wooster, Ohio, USA",0
1003792,nm3138500,Blair Jasin,,0
77301,nm0422638,Jiang Wen,"Tangshan, Hebei, China",0
154158,nm0860838,Wesley Thompson,"Chicago, Illinois, U.S.A.",0
122029,nm0131235,Christian Camargo,"New York City, New York",0
132157,nm3009232,Ezra Miller,"Wyckoff, New Jersey, USA",0
2405,nm0851582,Audrey Tautou,"Beaumont, Puy-de-Dôme, France",0
1308445,nm4689420,Carrie Coon,"Copley, Ohio, USA",0
1796454,,Robert Knox,"Kent, England, UK",0
141034,nm2915105,Billy Magnussen,"Woodhaven, New York, USA",0
5049,nm0000457,John Hurt,"Shirebrook, Derbyshire, England, UK",0
109432,nm0508356,Li Bingbing,"Harbin, Heilongjiang, China",0
20750,nm0339460,Judy Greer,Detroit - Michigan - USA,0
25079,nm0435875,Stefan Kalipha,"Trinidad, West Indies",0
25663,nm1032473,Thomas Brodie-Sangster,"Southwark, London, England, UK",0
11766,nm0703595,Timothy Patrick Quill,,0
49163,nm0312400,Maximilian Geller,,0
