nome_streaming,id_filme_TMDB
Apple iTunes,19995
Google Play Movies,19995
Amazon Video,19995
YouTube,19995
Vudu,19995
Microsoft Store,19995
Redbox,19995
DIRECTV,19995
AMC on Demand,19995
Apple iTunes,299534
Google Play Movies,299534
Amazon Video,299534
YouTube,299534
Vudu,299534
Microsoft Store,299534
Redbox,299534
DIRECTV,299534
AMC on Demand,299534
Apple iTunes,140607
Google Play Movies,140607
Amazon Video,140607
YouTube,140607
Vudu,140607
Microsoft Store,140607
Redbox,140607
DIRECTV,140607
AMC on Demand,140607
Apple iTunes,299536
Google Play Movies,299536
Amazon Video,299536
YouTube,299536
Vudu,299536
Microsoft Store,299536
Redbox,299536
DIRECTV,299536
AMC on Demand,299536
Apple iTunes,135397
Google Play Movies,135397
Amazon Video,135397
YouTube,135397
Vudu,135397
Microsoft Store,135397
Redbox,135397
AMC on Demand,135397
Apple iTunes,420818
Google Play Movies,420818
Amazon Video,420818
YouTube,420818
Vudu,420818
Microsoft Store,420818
Redbox,420818
DIRECTV,420818
AMC on Demand,420818
Apple iTunes,24428
Google Play Movies,24428
Amazon Video,24428
YouTube,24428
Vudu,24428
Microsoft Store,24428
Redbox,24428
DIRECTV,24428
AMC on Demand,24428
Apple iTunes,168259
Google Play Movies,168259
Amazon Video,168259
YouTube,168259
Vudu,168259
Microsoft Store,168259
Redbox,168259
DIRECTV,168259
AMC on Demand,168259
Alamo on Demand,168259
Apple iTunes,330457
Google Play Movies,330457
Amazon Video,330457
YouTube,330457
Vudu,330457
Microsoft Store,330457
Redbox,330457
DIRECTV,330457
AMC on Demand,330457
Spectrum On Demand,330457
Apple iTunes,99861
Google Play Movies,99861
Amazon Video,99861
YouTube,99861
Vudu,99861
Microsoft Store,99861
Redbox,99861
DIRECTV,99861
AMC on Demand,99861
Apple iTunes,284054
Google Play Movies,284054
Amazon Video,284054
YouTube,284054
Vudu,284054
Microsoft Store,284054
Redbox,284054
DIRECTV,284054
AMC on Demand,284054
Spectrum On Demand,284054
Apple iTunes,12445
Google Play Movies,12445
