nome_franquia,id_filme_TMDB
Avatar Collection,19995
Avengers,299534
Iron Man,299534
Cold War Collection,140607
Avengers,299536
Marvel Cinematic Universe,299536
Jurassic Park,135397
Alice in Wonderland Collection,420818
Avengers,24428
Marvel Cinematic Universe,24428
Dumb and Dumber Collection,168259
Frozen,330457
Avengers,99861
Marvel Cinematic Universe,99861
Black Panther Collection,284054
Marvel Cinematic Universe,284054
Harry Potter,12445
Cold War Collection,181808
Jurassic Park,351286
Frozen,109445
The Incredibles,260513
Dumb and Dumber Collection,337339
Iron Man,68721
Marvel Cinematic Universe,68721
Alice in Wonderland Collection,211672
Alice in Wonderland Collection,271110
Marvel Cinematic Universe,271110
Aquaman Collection,297802
DC Extended Universe,297802
Avengers,429617
Marvel Cinematic Universe,429617
Alice in Wonderland Collection,299537
Marvel Cinematic Universe,299537
Transformers,38356
Alice in Wonderland Collection,122
Middle-earth,122
James Bond,37724
Transformers,91314
The Dark Knight Trilogy,49026
Cold War Collection,181812
Toy Story,301528
Toy Story,10193
Pirates of the Caribbean,58
Aladdin (Live-Action) Collection,420817
Pirates of the Caribbean,1865
Despicable Me,324852
Alice in Wonderland Collection,127380
Alice in Wonderland Collection,12155
The Hobbit,49051
Middle-earth,49051
The Dark Knight Trilogy,155
Harry Potter,671
Despicable Me,93456
Jumanji,353486
Pirates of the Caribbean,285
The Hobbit,57158
Middle-earth,57158
The Hobbit,122917
Middle-earth,122917
Harry Potter,12444
Alice in Wonderland Collection,12
Harry Potter,675
Harry Potter,767
Shrek,809
Alice in Wonderland Collection,121
Middle-earth,121
Cold War Collection,1893
Jurassic Park,329
Harry Potter,674
Demon Slayer - Movie Collection,559
Ice Age,8355
James Bond,206647
Avengers,315635
Marvel Cinematic Universe,315635
Ice Age,57800
Harry Potter,672
Pet Sematary Reboot Collection,328111
Man of Steel Collection,209112
DC Extended Universe,209112
Alice in Wonderland Collection,120
Middle-earth,120
Cold War Collection,452557
Guardians of the Galaxy,283995
Marvel Cinematic Universe,283995
Venom Collection,335983
Thor,284053
Marvel Cinematic Universe,284053
Cold War Collection,1895
The Hunger Games,101299
Transformers,8373
The Twilight Collection,50620
Wonder Woman Collection,297762
DC Extended Universe,297762
Demon Slayer - Movie Collection,557
Independence Day Collection,602
Shrek,810
Fantastic Beasts Collection,259316
Jumanji,512200
Pirates of the Caribbean,166426
Miss Congeniality Collection,353081
Harry Potter,673
Dumb and Dumber Collection,82992
Bridget Jones Collection,217
Indiana Jones,217
Deadpool,383498
Demon Slayer - Movie Collection,558
Deadpool,293660
Cold War Collection,11
Guardians of the Galaxy,118340
Marvel Cinematic Universe,118340
The Robert Langdon Collection,591
Alice in Wonderland Collection,8587
Hobbs & Shaw Collection,384018
Maleficent Collection,102651
Alice in Wonderland Collection,1930
Man of Steel Collection,49521
DC Extended Universe,49521
Shrek,10192
The Hunger Games,131631
Demon Slayer - Movie Collection,127585
Mad Max Collection,80321
Suicide Squad Collection,297761
DC Extended Universe,297761
Chronicle Collection,411
"Monsters, Inc. Collection",62211
The Matrix Collection,604
Dumb and Dumber Collection,385128
Alice in Wonderland Collection,100402
Marvel Cinematic Universe,100402
The Twilight Collection,50619
Pet Sematary Reboot Collection,119450
The Twilight Collection,18239
Transformers,1858
Alice in Wonderland Collection,102382
It Collection,346364
The Twilight Collection,24021
Miss Congeniality Collection,56292
The Hunger Games,70160
Alice in Wonderland Collection,602666
Miss Congeniality Collection,177677
Doctor Strange Collection,284052
Marvel Cinematic Universe,284052
James Bond,370172
Dumb and Dumber Collection,49444
Ice Age,950
DC Extended Universe,141052
DC Extended Universe,791373
Pirates of the Caribbean,22
The Hunger Games,131634
Fantastic Beasts Collection,338952
Cold War Collection,1894
Thor,76338
Marvel Cinematic Universe,76338
Alice in Wonderland Collection,335797
Dumb and Dumber Collection,9502
The Incredibles,9806
Dumb and Dumber Collection,51497
Black Panther Collection,41154
Iron Man,10138
Marvel Cinematic Universe,10138
Demon Slayer - Movie Collection,363088
Marvel Cinematic Universe,363088
Alice in Wonderland Collection,82702
Alice in Wonderland Collection,263115
Jurassic Park,330
Mamma Mia! Collection,11631
Transformers,335988
Mad Max Collection,10527
James Bond,36557
James Bond,10764
Black Panther Collection,607
The Croods Collection,49519
The Hangover Collection,45243
Iron Man,1726
Marvel Cinematic Universe,1726
Planet of the Apes (Reboot) Collection,1593
Cold War Collection,1892
Fifty Shades Collection,216015
The Smurfs (Theatrical) Collection,41513
"Monsters, Inc. Collection",585
Cars Collection,49013
Alice in Wonderland Collection,417859
Ted Collection,72105
Miss Congeniality Collection,955
Ice Age,435
Demon Slayer - Movie Collection,246655
Mad Max Collection,953
Cold War Collection,1891
Despicable Me,20352
Now You See Me Collection,345940
Demon Slayer - Movie Collection,404368
Armour of God Collection,124905
Hot Shots! Collection,400155
Sherlock Holmes Collection,10528
Dumb and Dumber Collection,140300
Alice in Wonderland Collection,280
Demon Slayer - Movie Collection,102899
Marvel Cinematic Universe,102899
Alice in Wonderland Collection,166428
Now You See Me Collection,693
Thor,693
Aladdin (Live-Action) Collection,812
Demon Slayer - Movie Collection,635302
Rio Collection,172385
The Boss Baby Collection,295693
Toy Story,863
Alice in Wonderland Collection,10191
Planet of the Apes (Reboot) Collection,18823
Maleficent Collection,420809
Pet Sematary Reboot Collection,281338
Shrek,808
The Robert Langdon Collection,13448
Rio Collection,46195
Almighty Collection,310
Pet Sematary Reboot Collection,61791
Alice in Wonderland Collection,98566
Home Alone Collection,771
Bridget Jones Collection,89
Indiana Jones,89
Hot Shots! Collection,159824
It Collection,474350
Demon Slayer - Movie Collection,82690
Jaws Collection,578
The Hangover Collection,18785
Demon Slayer - Movie Collection,137106
Transformers,424783
Armour of God Collection,399566
Star Trek: Alternate Reality Collection,54138
The Matrix Collection,603
Cars Collection,920
Demon Slayer - Movie Collection,36668
National Treasure Collection,6637
Lucy Collection,240832
Miss Congeniality Collection,954
Ocean's Collection,161
Thor,10195
Marvel Cinematic Universe,10195
Tarzan (Animation) Collection,37135
Black Panther Collection,608
Alice in Wonderland Collection,449927
The Mummy Collection,1734
Alice in Wonderland Collection,23398
The Bourne Collection,2503
The Exorcist Collection,9552
Alice in Wonderland Collection,87101
Alice in Wonderland Collection,296
Pokémon Collection,447404
James Bond,36669
Ice Age,36669
Marvel Cinematic Universe,566525
Bad Boys Collection,38700
The Matrix Collection,605
Dumb and Dumber Collection,10020
Venom Collection,580489
300 Collection,1271
Chronicle Collection,2454
The Mummy Collection,564
Chronicle Collection,10140
The Bourne Collection,324668
Alice in Wonderland Collection,76170
City Slickers Collection,4564
Alice in Wonderland Collection,207703
Planet of the Apes (Reboot) Collection,18360
Batman Collection,268
Alice in Wonderland Collection,343668
Ice Age,278154
Demon Slayer - Movie Collection,36658
Pacific Rim Collection,68726
The Mummy Collection,1735
Planet of the Apes (Reboot) Collection,70981
TRON Collection,20526
Miss Congeniality Collection,956
The Huntsman Collection,58595
Mamma Mia! Collection,458423
The Twilight Collection,8966
Dragon Ball Super Collection,1452
Bridget Jones Collection,85
Independence Day Collection,47933
Armour of God Collection,373571
Star Trek: Alternate Reality Collection,13475
Happy Feet Collection,9836
