id_avaliador,id_filme_TMDB,nota
imdb,53182,6.2
tmdb,53182,6.1
rottentomatoes,53182,4.5
imdb,19995,7.8
tmdb,19995,7.5
rottentomatoes,19995,8.2
imdb,257,6.8
tmdb,257,6.7
rottentomatoes,257,6.1
imdb,325789,7.0
tmdb,325789,6.6
rottentomatoes,325789,7.2
imdb,9406,5.1
tmdb,9406,5.9
imdb,309809,7.7
tmdb,309809,7.6
imdb,13257,5.1
tmdb,13257,5.0
rottentomatoes,13257,1.4
imdb,2539,6.4
tmdb,2539,6.0
rottentomatoes,2539,5.3
imdb,267935,6.4
tmdb,267935,6.2
rottentomatoes,267935,7.4
imdb,276905,3.4
tmdb,276905,4.7
imdb,287948,5.2
tmdb,287948,5.5
rottentomatoes,287948,1.6
imdb,97630,7.4
tmdb,97630,7.0
imdb,326423,5.9
tmdb,326423,6.3
rottentomatoes,326423,9.0
imdb,340837,6.4
tmdb,340837,6.3
imdb,1830,7.6
tmdb,1830,7.3
rottentomatoes,1830,6.1
imdb,11866,6.1
tmdb,11866,6.0
rottentomatoes,11866,3.0
imdb,11184,7.1
tmdb,11184,6.7
rottentomatoes,11184,9.0
imdb,414,5.4
tmdb,414,5.4
rottentomatoes,414,3.9
imdb,419704,6.5
tmdb,419704,6.1
rottentomatoes,419704,8.3
imdb,55292,6.9
tmdb,55292,6.8
imdb,25961,6.5
tmdb,25961,6.8
imdb,399055,7.3
tmdb,399055,7.3
rottentomatoes,399055,9.2
imdb,109428,6.5
tmdb,109428,6.4
rottentomatoes,109428,6.2
imdb,299534,8.4
tmdb,299534,8.3
rottentomatoes,299534,9.4
imdb,301337,5.7
tmdb,301337,5.3
rottentomatoes,301337,4.6
imdb,407451,4.2
tmdb,407451,5.1
rottentomatoes,407451,4.2
imdb,24982,6.8
tmdb,24982,6.9
rottentomatoes,24982,8.0
imdb,9543,6.6
tmdb,9543,6.2
rottentomatoes,9543,3.7
imdb,11034,6.4
tmdb,11034,6.4
rottentomatoes,11034,3.9
imdb,257211,7.1
