id,id_filme_TMDB,nota
g19995,19995,7.7
g299534,299534,8.4
g140607,140607,7.5
g299536,299536,8.4
g135397,135397,6.8
g420818,420818,7.0
g24428,24428,7.8
g168259,168259,7.2
g330457,330457,7.0
g99861,99861,7.3
g284054,284054,7.3
g12445,12445,8.1
g181808,181808,6.9
g351286,351286,6.4
g109445,109445,7.3
g321612,321612,7.0
g260513,260513,7.5
g337339,337339,6.8
g68721,68721,7.0
g211672,211672,6.4
g271110,271110,7.6
g297802,297802,6.9
g429617,429617,7.5
g299537,299537,6.8
g38356,38356,6.2
g122,122,8.7
g37724,37724,7.5
g91314,91314,5.8
g49026,49026,8.1
g475557,475557,8.3
g181812,181812,6.5
g301528,301528,7.7
g10193,10193,8.0
g58,58,7.3
g330459,330459,7.7
g420817,420817,7.0
g1865,1865,6.5
g324852,324852,6.3
g127380,127380,7.2
g12155,12155,6.5
g269149,269149,7.8
g49051,49051,7.5
g155,155,8.8
g671,671,7.8
g93456,93456,7.1
g278927,278927,7.2
g353486,353486,6.8
g285,285,7.2
g57158,57158,7.7
g122917,122917,7.3
g12444,12444,7.8
g12,12,7.9
g675,675,7.6
g767,767,7.7
g809,809,7.2
g121,121,8.6
g674,674,7.8
g424694,424694,8.0
g559,559,6.2
g8355,8355,6.8
g206647,206647,6.7
g315635,315635,7.4
g57800,57800,6.4
g672,672,7.6
g328111,328111,6.3
g209112,209112,6.2
g120,120,8.6
g452557,452557,6.3
g283995,283995,7.6
g150540,150540,8.0
g335983,335983,6.8
g284053,284053,7.8
g1895,1895,7.5
g101299,101299,7.5
g8373,8373,6.0
g50620,50620,6.0
g27205,27205,8.6
g758891,758891,7.3
g297762,297762,7.3
g557,557,7.2
g810,810,6.2
g259316,259316,7.3
g354912,354912,8.3
g512200,512200,6.8
g166426,166426,6.5
g14161,14161,5.8
g353081,353081,7.6
g673,673,8.0
g82992,82992,6.9
g217,217,6.0
g383498,383498,7.6
g558,558,7.2
g293660,293660,7.8
g118340,118340,8.0
g591,591,6.7
g384018,384018,6.7
g102651,102651,7.0
g1930,1930,6.8
g49521,49521,6.8
g10192,10192,6.3
