id_avaliacao,id_avaliador
g19995,imdb
g19995,tmdb
g299534,imdb
g299534,tmdb
g140607,imdb
g140607,tmdb
g299536,imdb
g299536,tmdb
g135397,imdb
g135397,tmdb
g420818,imdb
g420818,tmdb
g24428,imdb
g24428,tmdb
g168259,imdb
g168259,tmdb
g330457,imdb
g330457,tmdb
g99861,imdb
g99861,tmdb
g284054,imdb
g284054,tmdb
g12445,imdb
g12445,tmdb
g181808,imdb
g181808,tmdb
g351286,imdb
g351286,tmdb
g109445,imdb
g109445,tmdb
g321612,imdb
g321612,tmdb
g260513,imdb
g260513,tmdb
g337339,imdb
g337339,tmdb
g68721,imdb
g68721,tmdb
g211672,imdb
g211672,tmdb
g271110,imdb
g271110,tmdb
g297802,imdb
g297802,tmdb
g429617,imdb
g429617,tmdb
g299537,imdb
g299537,tmdb
g38356,imdb
g38356,tmdb
g122,imdb
g122,tmdb
g37724,imdb
g37724,tmdb
g91314,imdb
g91314,tmdb
g49026,imdb
g49026,tmdb
g475557,imdb
g475557,tmdb
g181812,imdb
g181812,tmdb
g301528,imdb
g301528,tmdb
g10193,imdb
g10193,tmdb
g58,imdb
g58,tmdb
g330459,imdb
g330459,tmdb
g420817,imdb
g420817,tmdb
g1865,imdb
g1865,tmdb
g324852,imdb
g324852,tmdb
g127380,imdb
g127380,tmdb
g12155,imdb
g12155,tmdb
g269149,imdb
g269149,tmdb
g49051,imdb
g49051,tmdb
g155,imdb
g155,tmdb
g671,imdb
g671,tmdb
g93456,imdb
g93456,tmdb
g278927,imdb
g278927,tmdb
g353486,imdb
g353486,tmdb
g285,imdb
g285,tmdb
g57158,imdb
g57158,tmdb
g122917,imdb
g122917,tmdb
g12444,imdb
g12444,tmdb
g12,imdb
g12,tmdb
g675,imdb
g675,tmdb
g767,imdb
g767,tmdb
g809,imdb
g809,tmdb
g121,imdb
g121,tmdb
g674,imdb
g674,tmdb
g424694,imdb
g424694,tmdb
g559,imdb
g559,tmdb
g8355,imdb
g8355,tmdb
g206647,imdb
g206647,tmdb
g315635,imdb
g315635,tmdb
g57800,imdb
g57800,tmdb
g672,imdb
g672,tmdb
g328111,imdb
g328111,tmdb
g209112,imdb
g209112,tmdb
g120,imdb
g120,tmdb
g452557,imdb
g452557,tmdb
g283995,imdb
g283995,tmdb
g150540,imdb
g150540,tmdb
g335983,imdb
g335983,tmdb
g284053,imdb
g284053,tmdb
g1895,imdb
g1895,tmdb
g101299,imdb
g101299,tmdb
g8373,imdb
g8373,tmdb
g50620,imdb
g50620,tmdb
g27205,imdb
g27205,tmdb
g758891,imdb
g758891,tmdb
g297762,imdb
g297762,tmdb
g557,imdb
g557,tmdb
g810,imdb
g810,tmdb
g259316,imdb
g259316,tmdb
g354912,imdb
g354912,tmdb
g512200,imdb
g512200,tmdb
g166426,imdb
g166426,tmdb
g14161,imdb
g14161,tmdb
g353081,imdb
g353081,tmdb
g673,imdb
g673,tmdb
g82992,imdb
g82992,tmdb
g217,imdb
g217,tmdb
g383498,imdb
g383498,tmdb
g558,imdb
g558,tmdb
g293660,imdb
g293660,tmdb
g118340,imdb
g118340,tmdb
g591,imdb
g591,tmdb
g384018,imdb
g384018,tmdb
g102651,imdb
g102651,tmdb
g1930,imdb
g1930,tmdb
g49521,imdb
g49521,tmdb
g10192,imdb
g10192,tmdb
