id_TMDB,id_IMDB,nome,nacionalidade,num_oscars
1,nm0000184,George Lucas,"Modesto, California, USA",0
2,nm0000434,Mark Hamill,"Concord, California, USA",0
3,nm0000148,Harrison Ford,"Chicago, Illinois, USA",0
4,nm0000402,Carrie Fisher,"Beverly Hills, Los Angeles, California, USA",0
1802241,,Daniel Daszek-Green,,0
6,nm0000355,Anthony Daniels,"Salisbury, Wiltshire, England, UK",0
1802247,,Max Brophy,,0
1179651,nm0592135,Lin-Manuel Miranda,"Manhattan, New York, USA",0
7,nm0004056,Andrew Stanton,"Boston, Massachusetts, USA",2
8,nm0881279,Lee Unkrich,"Cleveland, Ohio, USA",2
10,nm0677037,Bob Peterson,"Wooster, Ohio, USA",0
12,nm1071252,Alexander Gould,"Los Angeles, California, USA",0
13,nm0000983,Albert Brooks,"Beverly Hills, California, USA",0
14,nm0001122,Ellen DeGeneres,"Metairie, Louisiana, USA",0
11,nm0721675,David Reynolds,,0
18,nm0004951,Brad Garrett,"Woodland Hills, Los Angeles, California, USA",0
19,nm0005049,Allison Janney,"Boston, Massachusetts, USA",1
20,nm0001610,Elizabeth Perkins,"Queens, New York, USA",0
1015829,nm1284927,Barry Aird,,0
1802261,nm7244330,Gemma Fray,,0
1015831,,Robin Pearce,,0
22,nm0402032,Barry Humphries,"Camberwell, Melbourne, Australia",0
23,nm0402730,Bill Hunter,"Ballarat, Victoria, Australia",0
1802266,,Adelaide Morgan,,0
1802267,,Timia Julien-Box,,0
31,nm0000158,Tom Hanks,"Concord, California, USA",2
32,nm0000705,Robin Wright,"Dallas, Texas, USA",0
1048610,nm0370015,Luke Hawker,"Masterton, New Zealand",0
35,nm0000398,Sally Field,"Pasadena, California, USA",2
39,nm0005222,Sam Mendes,"Reading, Berkshire, England, UK",1
2850858,,Ryan Mitchell,,0
2850859,,Alexa Gengelbach,,0
2850860,,Caroline Thomas,,0
2850861,,Stephanie Kraft Song,,0
48,nm0000293,Sean Bean,"Sheffield, South Yorkshire, England, UK",0
2850865,,Heidi Kettering,,0
2850867,,Danny Coonley,,0
2850868,,Sally Elling,,0
1343544,nm1142722,Keith Silverstein,"Plainfield, New Jersey, U.S.",0
2850875,,Madison Moran,,0
2850876,,Gabe Darley,,0
131133,nm3696388,Trevor Noah,"Johannesburg, South Africa",0
2850877,,Ronald W. Gibbs,,0
2850879,,Edmundo Raul Sanchez,,0
64,nm0000198,Gary Oldman,"New Cross, London, England, UK",1
65,nm0000453,Ian Holm,"Goodmayes, Essex, England, UK",0
2850880,,Nicholas W. von Zill,,0
2850881,,Allison Crowe,,0
2850882,,Nick Touchie,,0
2850884,,Eileen Touchie,,0
1900628,,Yi Liu,,0
85,nm0000136,Johnny Depp,"Owensboro, Kentucky, USA ",0
1900629,,Jing Wu,,0
1900633,,Ann James,,0
163930,nm1120742,Martha Millan,,0
1900635,,Nwachukwu Kennedy Chukwuebuka,,0
98396,nm0249931,Dean Edwards,,0
1900637,nm4999384,Qian Yu,"Beijing, China",0
1900634,,Guo Qiucheng,,0
2228318,,John M. Morse,,0
1900640,,Norbert DuBois,,0
1900641,,Guan Hailong,,0
1998940,,Maria Dominique Lopez,,0
99,nm0001625,Amanda Plummer,"New York City, New York, USA",0
103,nm0749263,Mark Ruffalo,"Kenosha, Wisconsin, USA",0
1736808,nm3578528,Nicholas Azarian,,0
108,nm0001392,Peter Jackson,"Pukerua Bay, North Island, New Zealand",1
109,nm0000704,Elijah Wood,"Cedar Rapids, Iowa, USA",0
110,nm0001557,Viggo Mortensen,"Manhattan, New York City, New York, USA",0
112,nm0000949,Cate Blanchett,"Melbourne, Victoria, Australia",2
113,nm0000489,Christopher Lee,"Belgravia, Westminster, England",0
114,nm0089217,Orlando Bloom,"Canterbury, Kent, England, UK",0
116,nm0461136,Keira Knightley,"Teddington, London, England, UK",0
117,nm0006290,Howard Shore,"Toronto, Ontario, Canada",2
118,nm0001691,Geoffrey Rush,"Toowoomba, Queensland, Australia",1
32887,nm0382216,Christopher Heyerdahl,British Columbia - Canada,0
123,nm0651614,Barrie M. Osborne,"New York City, New York, USA",1
126,nm0909638,Fran Walsh,"Wellington, New Zealand",1
1441919,nm1294269,Caspar Phillipson,,0
128,nm0101991,Philippa Boyens,,1
129,nm0866058,J.R.R. Tolkien,"Bloemfontein, Orange Free State, South Africa",0
130,nm0048652,Kenny Baker,"Birmingham, England, UK",0
131,nm0350453,Jake Gyllenhaal,"Los Angeles, California, USA",0
229508,nm1275506,Mike Escamilla,,0
1769602,nm4171997,Ffion Jolly,"Surrey, England",0
1474705,nm4089182,Daniel Adegboyega,,0
557202,nm3191505,Emily Schooley,,0
155,nm0085407,Lucas Black,"Speake, Alabama, USA",0
98464,nm0249528,Adrian Edmondson,"Bradford, Yorkshire, England",0
2228384,,David R. Grant,,0
1605797,,Jeff Shiffman,,0
1999015,,Carolina Ángel,,0
1278125,nm3583971,Leo Thompson,,0
1999025,,Emmanuel Bernal,,0
65717,nm0358316,Jon Hamm,"St. Louis, Missouri, USA",0
2654393,,Gabby Wong,,0
1999034,nm9401747,Daniel Diaz,,0
1999037,,Deb Fink,,0
1999038,,Libertad García Fonzi,,0
2326717,,Michel Alexandre Gonzalez,,0
192,nm0000151,Morgan Freeman,"Memphis, Tennessee, USA",1
194,nm0001321,Richard Harris,"Limerick City, Munster, Ireland",0
65731,nm0941777,Sam Worthington,"Godalming, Surrey, England, UK",0
1999042,nm9401749,Emilio Fuentes,,0
2326722,nm10255912,Leo Ayres,,0
1999047,nm9401751,Mike Gomez,,0
1999048,nm0415811,Marabina Jaimes,,0
1999049,,Constanza Lechuga,,0
1999051,,Vivianne Nacif,,0
1999052,,Adriana Sevahn Nichols,,0
205,nm0000379,Kirsten Dunst,"Point Pleasant, New Jersey, USA",0
1999054,,Arthur Ortiz,,0
1999053,nm9401754,Jonathan Nichols,,0
1999055,,Jessica Pacheco,,0
1999058,,James Ponce,,0
1999061,,Luis Solís,,0
1999063,,Rosalba Sotelo,,0
1999064,,Trujo,,0
1999065,,James Zavaleta,,0
32987,nm0727165,Sam Riley,"Leeds, West Yorkshire, England, UK ",0
32990,nm0860724,Sophie Thompson,"London, England, UK",0
65760,nm0385792,Marin Hinkle,"Dar es Salaam, Tanzania",0
1999073,,Marcela Davison Aviles,,0
227,nm0000458,William Hurt,"Washington, District of Columbia, USA",1
230,nm0565569,Stephen McHattie," Antigonish, Nova Scotia, Canada",0
196843,nm0166232,Jill Jane Clements,,0
1835251,,Samuel M. Stewart,,0
1835256,,Andy Pointon,,0
229634,nm0273797,Sebastian Armesto,"England, UK",0
1343746,nm4466210,John Zion,,0
1409284,nm0006524,Judi Townsend,,0
258,nm0305558,Gael García Bernal,"Guadalajara, Jalisco, Mexico",0
1835266,,Elvira Tricás,,0
1835267,,Carolina Pozo,,0
1835273,,Revil Beat,,0
1835277,,Sarah Li Yan,,0
1507605,nm0173390,Violet Columbus,,0
287,nm0000093,Brad Pitt,"Shawnee, Oklahoma, USA",2
1835297,,Rowena Diamond,,0
131365,nm0842182,Pepper Sweeney,,0
229672,nm0408846,Lee Ingleby,"Burnley, England, UK",0
2031926,nm6880955,Thalissa Teixeira,,0
229694,nm3622559,Revard Dufresne,,0
2097471,,Kevin Kiely Jnr,,0
98626,nm0827191,William-Christopher Stephens," Dayton, Ohio, USA",0
324,nm0798788,Scott Silver,"Worcester, Massachusetts, USA",0
1933640,,Todd Felderstein,,0
1769802,nm5355228,Donny Carrington,"Louisville, Kentucky, USA",0
333,nm0428055,Evan Jones,"Texas, U.S.",0
335,nm0788335,Michael Shannon,"Lexington, Kentucky, USA",0
342,nm0126021,Eugene Byrd,Philadelphia - Pennsylvania - USA,0
164208,nm0534822,Hemky Madera,,0
1016177,nm1041340,Miranda Rivers,,0
1114487,nm2842005,Hero Fiennes Tiffin,"London, England, U.K.",0
378,nm0000596,Jonathan Pryce,"Carmel, Flintshire, Wales, UK",0
380,nm0000134,Robert De Niro,"Greenwich Village, New York City, New York, USA",2
65920,nm1356578,J.B. Smoove,"Plymouth, North Carolina, USA",0
388,nm0000980,Jim Broadbent,"Lincoln, Lincolnshire, England, UK",1
400,nm0001036,Geraldine Chaplin,"Santa Monica, California, USA",0
33181,nm0001751,Jimmy Smits,"Brooklyn, New York, USA",0
33182,nm0481092,Jay Laga'aia,Auckland - New Zealand,0
1278367,nm1669911,Calvin Dean,,0
33184,nm1404216,Rohan Nichol,Geraldton - Western Australia - Australia,0
417,nm0329481,Ginnifer Goodwin,"Memphis, Tennessee, USA",0
33185,nm0120116,Jeremy Bulloch,Market Harborough - Leicestershire - England - UK,0
33192,nm0249291,Joel Edgerton,"Blacktown, New South Wales, Australia",0
2720169,,Gaurav Singh,,0
427,nm0480808,Sandra Ellis Lafferty,Colorado - USA,0
33197,nm0078886,Ahmed Best,"New York City, New York, USA",0
3146176,,Hines Ward,,0
2097601,,Ari Costa,,0
1212864,nm0642601,Colleen O'Shaughnessey,"Grand Rapids, Michigan, USA ",0
3146179,,Heath Miller,,0
3080661,,Jia Wentian,,0
3080663,,Dong Ruoxi,,0
3080664,nm12149062,Han Yunyun,"中国,黑龙江",0
3080665,,Ge Shanshan,"中国,吉林,德惠",0
33241,nm0309461,Michael Gaston,Walnut Creek - California - USA,0
3080667,,Katherine Ackerman,America,0
477,nm0910278,Julie Walters,"Smethwick, England, UK",0
488,nm0000229,Steven Spielberg,"Cincinnati, Ohio, USA",2
491,nm0002354,John Williams,"Flushing, Queens, New York, United States",5
33260,nm0005327,Freddie Prinze Jr.,"Los Angeles, California, USA",0
98804,nm1237235,Ronnie Gene Blevins,"Harris County, Texas, USA",0
950773,nm0327344,Jackie Gonneau,,0
502,nm0001584,Miranda Otto,"Brisbane, Queensland, Australia",0
501,nm0266824,Dakota Fanning,"Conyers, Georgia, USA",0
500,nm0000129,Tom Cruise,"Syracuse, New York, USA",0
1868277,,Richard Graves,,0
1933818,,Mark Edward Taylor,,0
1933819,,Harry Coles,,0
1933820,nm2246640,Julie Mun,,0
98811,nm0700445,Nicole Pulliam,"Columbus, Ohio, USA",0
510,nm0000318,Tim Burton,"Burbank, California, USA",0
508,nm0462895,David Koepp,"Pewaukee, Wisconsin, USA",0
515,nm0000335,Glenn Close,"Greenwich, Connecticut, USA",0
516,nm0000906,Annette Bening,"Topeka, Kansas, USA",0
518,nm0000362,Danny DeVito,"Asbury Park, New Jersey, USA",0
2064907,,Bill Wise,,0
524,nm0000204,Natalie Portman,"Jerusalem, Israel",1
525,nm0634240,Christopher Nolan,"Westminster, London, England, UK",0
526,nm0001305,Lukas Haas,"West Hollywood, California, USA",0
527,nm0634300,Jonathan Nolan,"London, England, UK",0
2359824,,Paul Bennett,,0
529,nm0001602,Guy Pearce,"Ely, Cambridgeshire, England, UK",0
2359825,,Yannick Fauchier,,0
1278483,nm0180470,Cavin Cornwall,,0
33293,nm0655959,David Paetkau,"Vancouver, British Columbia, Canada",0
1475089,nm1870927,Ian Rozylo,,0
535,nm0270383,Russ Fega,,0
66072,nm0119354,Michael Buffer,,0
539,nm0502073,Thomas Lennon,"Chicago, Illinois, USA",0
1475104,,Alexia Fairbrother,,0
1278497,nm0932849,Lynne Wilmot,,0
1278499,nm1833012,Keith Dunphy,,0
1802792,,Leah West,,0
1802794,,Naomi Weijand,,0
1802795,,Jasmine Takacs,,0
1802796,,Ruth Steele,,0
1802797,,Lucy St Louis,,0
1802798,,Katie Singh,,0
1802799,,Kayla Radam,,0
1802800,,Courtney Pruce,,0
1802801,,Jazz Peters,,0
131634,nm0682837,Bonnie Piesse,"Melbourne, Australia ",0
229932,nm0267042,Golshifteh Farahani,"Tehran, Iran",0
1278517,nm1349213,Mark Roper,,0
1278519,nm5391976,Miles Roughley,,0
2032189,nm1013159,Peter McKenzie,,0
